id,name,assessmentType,developmentPhase,methodology,status,calculatedAt
ASS_LONG_CFPA,Screening assessment – Long-reach fingers / CF-PA / FFF,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_LONG_AL,Screening assessment – Long-reach fingers / Al6061 / CNC,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_THIN_POM,Screening assessment – Thin precision fingers / POM / CNC,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_THIN_STEEL,Screening assessment – Thin compliant fingers / spring steel,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_INTERNAL_PA12,Screening assessment – Internal-expansion fingers / PA12 / MJF,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_INTERNAL_AL,Screening assessment – Internal-expansion fingers / Al6061 / CNC,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_3FINGER_PA12,Screening assessment – Three-finger underactuated / PA12,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_SOFT_SIL,Screening assessment – Soft pneumatic fingers / silicone,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_VAC_SMALL_NBR,Screening assessment – Small suction cup / NBR,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_VAC_LARGE_SIL,Screening assessment – Large suction cup / silicone,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_VAC_ARRAY,Screening assessment – Four-cup vacuum array,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_MAG_SMALL,Screening assessment – Small magnetic pole shoe,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_MAG_WIDE,Screening assessment – Wide magnetic pole shoe,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_HYBRID,Screening assessment – Rigid-soft hybrid jaw / PA12+TPU,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_FLAT_ABS,Screening assessment - Flat jaws / ABS / FFF,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_FLAT_ASA,Screening assessment - Flat jaws / ASA / FFF,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_FLAT_PLA,Screening assessment - Flat jaws / PLA / FFF,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_PREC_PA11,Screening assessment - Precision jaws / PA11 / SLS,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_PREC_PC,Screening assessment - Precision jaws / PC / CNC,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_PU_PAD,Screening assessment - PA12 jaws + PU pads,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
