from_id,to_id,suitability,rationale
ART_XL_CFPA,SC_BOTTLE,candidate fit,Functional/geometric material-principle screening
ART_V_PA12,SC_AL_TUBE,candidate fit,Functional/geometric material-principle screening
ART_V_PA12,SC_STEEL_TUBE,candidate fit,Functional/geometric material-principle screening
ART_V_PA12,SC_BOTTLE,candidate fit,Functional/geometric material-principle screening
ART_V_PETG,SC_AL_TUBE,candidate fit,Functional/geometric material-principle screening
ART_V_PETG,SC_BOTTLE,candidate fit,Functional/geometric material-principle screening
ART_V_POM,SC_AL_TUBE,candidate fit,Functional/geometric material-principle screening
ART_V_POM,SC_STEEL_TUBE,candidate fit,Functional/geometric material-principle screening
ART_V_AL,SC_STEEL_TUBE,candidate fit,Functional/geometric material-principle screening
ART_CONC_PA12,SC_BALL,candidate fit,Functional/geometric material-principle screening
ART_CONC_PA12,SC_BOTTLE,candidate fit,Functional/geometric material-principle screening
ART_CONC_PA12,SC_EGG,candidate fit,Functional/geometric material-principle screening
ART_CONC_POM,SC_BALL,candidate fit,Functional/geometric material-principle screening
ART_CONC_POM,SC_BOTTLE,candidate fit,Functional/geometric material-principle screening
ART_TPU_PAD,SC_GLASS,candidate fit,Functional/geometric material-principle screening
ART_TPU_PAD,SC_EGG,candidate fit,Functional/geometric material-principle screening
ART_TPU_PAD,SC_BOTTLE,candidate fit,Functional/geometric material-principle screening
ART_SIL_PAD,SC_GLASS,candidate fit,Functional/geometric material-principle screening
ART_SIL_PAD,SC_EGG,candidate fit,Functional/geometric material-principle screening
ART_FINRAY_TPU,SC_EGG,candidate fit,Functional/geometric material-principle screening
ART_FINRAY_TPU,SC_BALL,candidate fit,Functional/geometric material-principle screening
ART_FINRAY_TPU,SC_CABLE,candidate fit,Functional/geometric material-principle screening
ART_FINRAY_TPU,SC_BOTTLE,candidate fit,Functional/geometric material-principle screening
ART_FINRAY_TPE,SC_EGG,candidate fit,Functional/geometric material-principle screening
ART_FINRAY_TPE,SC_BALL,candidate fit,Functional/geometric material-principle screening
ART_FINRAY_TPE,SC_CABLE,candidate fit,Functional/geometric material-principle screening
ART_LONG_CFPA,SC_SMALL_CUBE,candidate fit,Functional/geometric material-principle screening
ART_LONG_CFPA,SC_NUT,candidate fit,Functional/geometric material-principle screening
ART_LONG_AL,SC_SMALL_CUBE,candidate fit,Functional/geometric material-principle screening
ART_LONG_AL,SC_NUT,candidate fit,Functional/geometric material-principle screening
ART_THIN_POM,SC_PCB,candidate fit,Functional/geometric material-principle screening
ART_THIN_POM,SC_SMALL_SCREW,candidate fit,Functional/geometric material-principle screening
ART_THIN_STEEL,SC_PCB,candidate fit,Functional/geometric material-principle screening
ART_THIN_STEEL,SC_SMALL_SCREW,candidate fit,Functional/geometric material-principle screening
ART_INTERNAL_PA12,SC_AL_TUBE,candidate fit,Functional/geometric material-principle screening
ART_INTERNAL_PA12,SC_STEEL_TUBE,candidate fit,Functional/geometric material-principle screening
ART_INTERNAL_PA12,SC_CUP,candidate fit,Functional/geometric material-principle screening
ART_INTERNAL_AL,SC_AL_TUBE,candidate fit,Functional/geometric material-principle screening
ART_INTERNAL_AL,SC_STEEL_TUBE,candidate fit,Functional/geometric material-principle screening
ART_3FINGER_PA12,SC_BALL,candidate fit,Functional/geometric material-principle screening
ART_3FINGER_PA12,SC_BOTTLE,candidate fit,Functional/geometric material-principle screening
ART_3FINGER_PA12,SC_EGG,candidate fit,Functional/geometric material-principle screening
ART_SOFT_SIL,SC_EGG,candidate fit,Functional/geometric material-principle screening
ART_SOFT_SIL,SC_FOAM,candidate fit,Functional/geometric material-principle screening
ART_SOFT_SIL,SC_CABLE,candidate fit,Functional/geometric material-principle screening
ART_VAC_SMALL_NBR,SC_PLATE,candidate fit,Functional/geometric material-principle screening
ART_VAC_SMALL_NBR,SC_PCB,candidate fit,Functional/geometric material-principle screening
ART_VAC_LARGE_SIL,SC_GLASS,candidate fit,Functional/geometric material-principle screening
ART_VAC_LARGE_SIL,SC_PLATE,candidate fit,Functional/geometric material-principle screening
ART_VAC_ARRAY,SC_GLASS,candidate fit,Functional/geometric material-principle screening
ART_VAC_ARRAY,SC_STEEL_PLATE,candidate fit,Functional/geometric material-principle screening
ART_VAC_ARRAY,SC_PLATE,candidate fit,Functional/geometric material-principle screening
ART_MAG_SMALL,SC_SMALL_SCREW,candidate fit,Functional/geometric material-principle screening
ART_MAG_SMALL,SC_WASHER,candidate fit,Functional/geometric material-principle screening
ART_MAG_SMALL,SC_NUT,candidate fit,Functional/geometric material-principle screening
ART_MAG_WIDE,SC_STEEL_PLATE,candidate fit,Functional/geometric material-principle screening
ART_MAG_WIDE,SC_STEEL_TUBE,candidate fit,Functional/geometric material-principle screening
ART_HYBRID,SC_GLASS,candidate fit,Functional/geometric material-principle screening
ART_HYBRID,SC_EGG,candidate fit,Functional/geometric material-principle screening
ART_HYBRID,SC_BOTTLE,candidate fit,Functional/geometric material-principle screening
ART_FLAT_ABS,SC_LARGE_BOX,candidate fit,Functional/geometric material-principle screening
ART_FLAT_ABS,SC_FOAM,candidate fit,Functional/geometric material-principle screening
ART_FLAT_ASA,SC_LARGE_BOX,candidate fit,Functional/geometric material-principle screening
ART_FLAT_ASA,SC_FOAM,candidate fit,Functional/geometric material-principle screening
ART_FLAT_PLA,SC_LARGE_BOX,candidate fit,Functional/geometric material-principle screening
ART_FLAT_PLA,SC_FOAM,candidate fit,Functional/geometric material-principle screening
ART_PREC_PA11,SC_PCB,candidate fit,Functional/geometric material-principle screening
ART_PREC_PA11,SC_SMALL_SCREW,candidate fit,Functional/geometric material-principle screening
ART_PREC_PC,SC_PCB,candidate fit,Functional/geometric material-principle screening
ART_PREC_PC,SC_SMALL_SCREW,candidate fit,Functional/geometric material-principle screening
ART_PU_PAD,SC_GLASS,candidate fit,Functional/geometric material-principle screening
ART_PU_PAD,SC_EGG,candidate fit,Functional/geometric material-principle screening
