id,name,direction,amount,unit,exchangeType,quantitativeReference,dataMaturity,comment,location
EX_PROC_SLS_FLOW_PART_OUT,Selective Laser Sintering – Finished gripper component output,output,1.0,pcs,intermediate/product,true,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_SLS_FLOW_WASTE_OUT,Selective Laser Sintering – Manufacturing waste output,output,0.0,kg,waste,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_FFF_FLOW_PART_OUT,Fused Filament Fabrication – Finished gripper component output,output,1.0,pcs,intermediate/product,true,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_FFF_FLOW_WASTE_OUT,Fused Filament Fabrication – Manufacturing waste output,output,0.0,kg,waste,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_CNC_FLOW_PART_OUT,CNC milling – Finished gripper component output,output,1.0,pcs,intermediate/product,true,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_CNC_FLOW_WASTE_OUT,CNC milling – Manufacturing waste output,output,0.0,kg,waste,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_LASER_FLOW_PART_OUT,Laser cutting – Finished gripper component output,output,1.0,pcs,intermediate/product,true,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_LASER_FLOW_WASTE_OUT,Laser cutting – Manufacturing waste output,output,0.0,kg,waste,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_BEND_FLOW_PART_OUT,Sheet-metal bending – Finished gripper component output,output,1.0,pcs,intermediate/product,true,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_BEND_FLOW_WASTE_OUT,Sheet-metal bending – Manufacturing waste output,output,0.0,kg,waste,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_SILCAST_FLOW_PART_OUT,Silicone casting – Finished gripper component output,output,1.0,pcs,intermediate/product,true,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_SILCAST_FLOW_WASTE_OUT,Silicone casting – Manufacturing waste output,output,0.0,kg,waste,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_RUBBER_FLOW_PART_OUT,Elastomer molding – Finished gripper component output,output,1.0,pcs,intermediate/product,true,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_RUBBER_FLOW_WASTE_OUT,Elastomer molding – Manufacturing waste output,output,0.0,kg,waste,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_OVERMOLD_FLOW_PART_OUT,Overmolding – Finished gripper component output,output,1.0,pcs,intermediate/product,true,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_OVERMOLD_FLOW_WASTE_OUT,Overmolding – Manufacturing waste output,output,0.0,kg,waste,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
