from_id,to_id,sequence,share
PLAN_FLAT_ABS,PROC_SCREW,2,1.0
PLAN_FLAT_ABS,PROC_USE,3,1.0
PLAN_FLAT_ABS,PROC_REPAIR,4,1.0
PLAN_FLAT_ABS,PROC_RECYCLE_POLY,5,1.0
PLAN_FLAT_ASA,PROC_FFF,1,1.0
PLAN_FLAT_ASA,PROC_SCREW,2,1.0
PLAN_FLAT_ASA,PROC_USE,3,1.0
PLAN_FLAT_ASA,PROC_REPAIR,4,1.0
PLAN_FLAT_ASA,PROC_RECYCLE_POLY,5,1.0
PLAN_FLAT_PLA,PROC_FFF,1,1.0
PLAN_FLAT_PLA,PROC_SCREW,2,1.0
PLAN_FLAT_PLA,PROC_USE,3,1.0
PLAN_FLAT_PLA,PROC_REPAIR,4,1.0
PLAN_FLAT_PLA,PROC_RECYCLE_POLY,5,1.0
PLAN_PREC_PA11,PROC_SLS,1,1.0
PLAN_PREC_PA11,PROC_SCREW,2,1.0
PLAN_PREC_PA11,PROC_USE,3,1.0
PLAN_PREC_PA11,PROC_REPAIR,4,1.0
PLAN_PREC_PA11,PROC_RECYCLE_POLY,5,1.0
PLAN_PREC_PC,PROC_CNC,1,1.0
PLAN_PREC_PC,PROC_SCREW,2,1.0
PLAN_PREC_PC,PROC_USE,3,1.0
PLAN_PREC_PC,PROC_REPAIR,4,1.0
PLAN_PREC_PC,PROC_RECYCLE_POLY,5,1.0
PLAN_PU_PAD,PROC_RUBBER,1,1.0
PLAN_PU_PAD,PROC_SCREW,2,1.0
PLAN_PU_PAD,PROC_USE,3,1.0
PLAN_PU_PAD,PROC_REPAIR,4,1.0
PLAN_PU_PAD,PROC_RECYCLE_POLY,5,1.0
