from_id,to_id,quantity,unit,role
ASSY_THIN_POM,PART_THIN_POM_INTERFACE,1,pcs,robot interface
ASSY_THIN_STEEL,PART_THIN_STEEL_CONTACT,2,pcs,primary contact
ASSY_THIN_STEEL,PART_THIN_STEEL_INTERFACE,1,pcs,robot interface
ASSY_INTERNAL_PA12,PART_INTERNAL_PA12_CONTACT,2,pcs,primary contact
ASSY_INTERNAL_PA12,PART_INTERNAL_PA12_INTERFACE,1,pcs,robot interface
ASSY_INTERNAL_AL,PART_INTERNAL_AL_CONTACT,2,pcs,primary contact
ASSY_INTERNAL_AL,PART_INTERNAL_AL_INTERFACE,1,pcs,robot interface
ASSY_3FINGER_PA12,PART_3FINGER_PA12_CONTACT,2,pcs,primary contact
ASSY_3FINGER_PA12,PART_3FINGER_PA12_INTERFACE,1,pcs,robot interface
ASSY_SOFT_SIL,PART_SOFT_SIL_CONTACT,2,pcs,primary contact
ASSY_SOFT_SIL,PART_SOFT_SIL_INTERFACE,1,pcs,robot interface
ASSY_VAC_SMALL_NBR,PART_VAC_SMALL_NBR_CONTACT,1,pcs,primary contact
ASSY_VAC_SMALL_NBR,PART_VAC_SMALL_NBR_INTERFACE,1,pcs,robot interface
ASSY_VAC_LARGE_SIL,PART_VAC_LARGE_SIL_CONTACT,1,pcs,primary contact
ASSY_VAC_LARGE_SIL,PART_VAC_LARGE_SIL_INTERFACE,1,pcs,robot interface
ASSY_VAC_ARRAY,PART_VAC_ARRAY_CONTACT,1,pcs,primary contact
ASSY_VAC_ARRAY,PART_VAC_ARRAY_INTERFACE,1,pcs,robot interface
ASSY_MAG_SMALL,PART_MAG_SMALL_CONTACT,1,pcs,primary contact
ASSY_MAG_SMALL,PART_MAG_SMALL_INTERFACE,1,pcs,robot interface
ASSY_MAG_WIDE,PART_MAG_WIDE_CONTACT,1,pcs,primary contact
ASSY_MAG_WIDE,PART_MAG_WIDE_INTERFACE,1,pcs,robot interface
ASSY_HYBRID,PART_HYBRID_CONTACT,2,pcs,primary contact
ASSY_HYBRID,PART_HYBRID_INTERFACE,1,pcs,robot interface
ASSY_FLAT_ABS,PART_FLAT_ABS_CONTACT,2,pcs,primary contact
ASSY_FLAT_ABS,PART_FLAT_ABS_INTERFACE,1,pcs,robot interface
ASSY_FLAT_ASA,PART_FLAT_ASA_CONTACT,2,pcs,primary contact
ASSY_FLAT_ASA,PART_FLAT_ASA_INTERFACE,1,pcs,robot interface
ASSY_FLAT_PLA,PART_FLAT_PLA_CONTACT,2,pcs,primary contact
ASSY_FLAT_PLA,PART_FLAT_PLA_INTERFACE,1,pcs,robot interface
ASSY_PREC_PA11,PART_PREC_PA11_CONTACT,2,pcs,primary contact
ASSY_PREC_PA11,PART_PREC_PA11_INTERFACE,1,pcs,robot interface
ASSY_PREC_PC,PART_PREC_PC_CONTACT,2,pcs,primary contact
ASSY_PREC_PC,PART_PREC_PC_INTERFACE,1,pcs,robot interface
ASSY_PU_PAD,PART_PU_PAD_CONTACT,2,pcs,primary contact
ASSY_PU_PAD,PART_PU_PAD_INTERFACE,1,pcs,robot interface
